title,A/B Testing,AWS,AWS SageMaker,Adobe XD,Agile,Airflow,Ansible,Azure,BigQuery,C++,CI/CD,Data Analysis,Databricks,Deep Learning,Design Systems,Docker,Excel,Experimentation,Feature Stores,Figma,GCP,Git,Go,Google Analytics,Grafana,HTML/CSS,JIRA,Java,JavaScript,Jenkins,Jupyter,Kafka,Kubernetes,LaTeX,Linux,Looker,MLflow,Machine Learning,NLP,PostgreSQL,Power BI,Product Strategy,Prometheus,Prototyping,Publication Record,PyTorch,Python,R,REST APIs,Redis,Redshift,Roadmapping,Rust,SQL,Sketch,Snowflake,Spark,Stakeholder Management,Statistics,Tableau,TensorFlow,Terraform,TypeScript,Usability Testing,User Research,Wireframing,dbt,gRPC,scikit-learn
Backend Engineer,0.0,48.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.96,0.0,0.0,0.0,0.0,0.0,0.0,47.37,0.0,0.0,0.0,0.0,50.1,0.0,0.0,0.0,49.35,46.96,0.0,0.0,0.0,0.0,0.0,0.0,48.26,0.0,0.0,0.0,0.0,0.0,0.0,49.69,0.0,46.34,49.35,0.0,0.0,0.0,49.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.76,0.0
Data Analyst,59.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.36,0.0,0.0,0.0,0.0,0.0,0.0,57.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.89,0.0,0.0,0.0,0.0,58.09,0.0,0.0,0.0,0.0,0.0,57.7,0.0,0.0,0.0,0.0,0.0,0.0,57.63,0.0,0.0,0.0,0.0,58.82,58.55,0.0,0.0,0.0,0.0,0.0,0.0,58.16,0.0,0.0
Data Engineer,0.0,45.32,0.0,0.0,0.0,44.85,0.0,42.85,44.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.25,0.0,0.0,0.0,0.0,0.0,0.0,43.78,0.0,0.0,0.0,43.38,0.0,0.0,44.32,0.0,43.18,44.79,0.0,0.0,0.0,0.0,42.71,0.0,0.0,0.0,0.0,44.32,0.0,0.0
Data Scientist,43.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.81,0.0,0.0,0.0,0.0,0.0,0.0,42.99,43.73,0.0,0.0,0.0,0.0,0.0,0.0,40.7,40.77,42.86,0.0,0.0,0.0,0.0,0.0,43.46,0.0,0.0,42.59,0.0,42.12,39.89,42.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.27
DevOps Engineer,0.0,47.59,0.0,0.0,0.0,0.0,46.07,42.98,0.0,0.0,45.25,0.0,0.0,0.0,0.0,45.11,0.0,0.0,0.0,0.0,45.45,0.0,0.0,0.0,45.52,0.0,0.0,0.0,0.0,48.07,0.0,0.0,42.91,0.0,45.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.49,0.0,0.0,0.0,45.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML Engineer,0.0,0.0,50.59,0.0,0.0,48.35,0.0,0.0,0.0,0.0,48.68,0.0,47.95,0.0,0.0,48.41,0.0,0.0,48.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6,0.0,0.0,0.0,49.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.41,49.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.33,0.0,0.0,0.0,50.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Product Manager,58.75,0.0,0.0,0.0,59.01,0.0,0.0,0.0,0.0,0.0,0.0,60.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.74,0.0,0.0,0.0,0.0,0.0,0.0,58.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.74,0.0,57.89,0.0,0.0,0.0,57.37,0.0,0.0,0.0,0.0,0.0,0.0,59.08,0.0,0.0,0.0,0.0
Research Scientist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.39,0.0,0.0,0.0,65.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.08,0.0,0.0,0.0,64.6,0.0,0.0,0.0,0.0,0.0,0.0,66.39,66.74,66.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.53,0.0,65.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Software Engineer,0.0,38.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.76,0.0,0.0,0.0,0.0,0.0,38.66,0.0,0.0,0.0,0.0,0.0,39.63,38.92,0.0,0.0,0.0,0.0,37.82,37.82,0.0,0.0,0.0,39.43,0.0,0.0,0.0,0.0,0.0,0.0,35.95,0.0,0.0,0.0,0.0,0.0,0.0,41.3,0.0,39.37,38.27,0.0,0.0,36.6,37.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.24,0.0,0.0,0.0,0.0,0.0,0.0
UX Designer,0.0,0.0,0.0,61.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.87,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,62.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.16,64.19,62.13,0.0,0.0,0.0
