Career,Term,TFIDF_Score
Backend Engineer,backend,0.2051
Backend Engineer,engineer,0.1046
Backend Engineer,grpc,0.0709
Backend Engineer,java,0.0687
Backend Engineer,kafka,0.0631
Backend Engineer,redis,0.0625
Backend Engineer,go,0.0601
Backend Engineer,rest,0.058
Backend Engineer,apis,0.058
Backend Engineer,end,0.0551
Data Analyst,analyst,0.1989
Data Analyst,data,0.1304
Data Analyst,power,0.0794
Data Analyst,bi,0.0794
Data Analyst,looker,0.0786
Data Analyst,excel,0.0776
Data Analyst,analytics,0.0771
Data Analyst,google,0.0769
Data Analyst,tableau,0.0733
Data Analyst,dbt,0.0723
Data Engineer,data,0.1337
Data Engineer,engineer,0.1063
Data Engineer,bigquery,0.0685
Data Engineer,snowflake,0.0641
Data Engineer,redshift,0.0638
Data Engineer,terraform,0.0588
Data Engineer,team,0.0581
Data Engineer,kafka,0.0581
Data Engineer,join,0.058
Data Engineer,end,0.0574
Data Scientist,scientist,0.1622
Data Scientist,data,0.1329
Data Scientist,learning,0.0829
Data Scientist,nlp,0.0649
Data Scientist,scikitlearn,0.0631
Data Scientist,jupyter,0.0573
Data Scientist,join,0.0541
Data Scientist,team,0.0537
Data Scientist,end,0.0523
Data Scientist,work,0.0495
DevOps Engineer,devops,0.2027
DevOps Engineer,engineer,0.1031
DevOps Engineer,jenkins,0.0698
DevOps Engineer,prometheus,0.0697
DevOps Engineer,ansible,0.0667
DevOps Engineer,grafana,0.0663
DevOps Engineer,gcp,0.0653
DevOps Engineer,linux,0.0598
DevOps Engineer,cicd,0.0587
DevOps Engineer,terraform,0.0556
ML Engineer,ml,0.1802
ML Engineer,engineer,0.1037
ML Engineer,sagemaker,0.0713
ML Engineer,mlflow,0.0713
ML Engineer,store,0.0707
ML Engineer,databricks,0.0671
ML Engineer,feature,0.0669
ML Engineer,cicd,0.0619
ML Engineer,airflow,0.0594
ML Engineer,end,0.0587
Product Manager,product,0.2173
Product Manager,manager,0.1932
Product Manager,agile,0.0824
Product Manager,analysis,0.0795
Product Manager,jira,0.0776
Product Manager,roadmapping,0.0775
Product Manager,stakeholder,0.0748
Product Manager,management,0.0736
Product Manager,strategy,0.0709
Product Manager,figma,0.0671
Research Scientist,research,0.1707
Research Scientist,scientist,0.1594
Research Scientist,learning,0.1144
Research Scientist,publication,0.0878
Research Scientist,record,0.0878
Research Scientist,latex,0.0869
Research Scientist,experimentation,0.0797
Research Scientist,machine,0.0743
Research Scientist,pytorch,0.0726
Research Scientist,deep,0.0725
Software Engineer,software,0.1978
Software Engineer,engineer,0.1041
Software Engineer,typescript,0.0615
Software Engineer,end,0.0613
Software Engineer,git,0.0582
Software Engineer,javascript,0.0562
Software Engineer,rust,0.0552
Software Engineer,apis,0.0524
Software Engineer,rest,0.0524
Software Engineer,join,0.0521
UX Designer,ux,0.1925
UX Designer,designer,0.1925
UX Designer,prototyping,0.0857
UX Designer,sketch,0.0854
UX Designer,usability,0.0844
UX Designer,wireframing,0.0838
UX Designer,htmlcss,0.0836
UX Designer,system,0.0816
UX Designer,xd,0.079
UX Designer,adobe,0.079
